;2005;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Pays;;;;;;;;;;;;;;;;
Total European Union;431 114;349 416;354 207;362 841;367 732;392 315;344 027;328 912;290 933;321 094;281 995;303 487;290 716;231 286;237 715;253 305
Belgium;9 324;7 192;8 633;9 497;9 832;9 063;8 136;8 691;6 250;6 210;5 766;5 676;5 914;4 533;3 927;5 106
Bulgaria;19 277;17 300;19 053;16 162;15 912;20 002;16 029;13 610;14 203;14 669;13 325;13 120;12 027;9 906;10 623;10 840
Czechia;13 106;8 606;9 116;10 228;11 843;11 173;10 216;10 914;9 855;9 245;8 634;9 335;10 305;6 941;6 900;8 482
Denmark;2 991;2 743;2 417;2 334;2 581;3 386;1 916;1 761;2 419;1 843;1 650;1 366;2 206;1 719;1 038;1 203
Germany;66 644;48 870;54 708;63 359;68 687;64 474;51 701;58 365;52 049;49 696;44 203;45 191;49 262;34 359;28 886;32 322
Estonia;774;635;455;276;443;347;325;306;396;213;132;70;230;79;58;97
Ireland;641;325;833;738;1 008;771;638;879;817;393;468;275;624;598;488;458
Greece;15 298;12 564;13 212;13 414;11 988;12 999;12 271;11 468;9 647;12 502;12 159;20 682;11 144;9 480;8 807;9 990
Spain;34 017;31 417;24 575;24 477;19 186;20 910;20 383;15 793;15 446;22 200;17 510;20 142;15 104;14 734;16 982;14 074
France;38 706;32 796;34 906;39 664;40 501;40 021;36 658;35 660;22 689;28 175;24 417;22 983;22 888;18 709;16 507;20 061
Croatia;6 539;5 250;4 917;5 375;5 435;5 900;4 254;4 114;3 771;4 665;5 122;4 668;4 696;3 472;4 128;3 797
Italy;72 047;60 784;58 906;58 398;52 232;66 469;60 447;55 103;45 701;60 986;49 618;54 674;46 884;42 658;52 295;46 792
Cyprus;1 137;883;964;754;793;931;1 069;590;619;711;541;621;526;582;565;629
Latvia;2 639;1 617;2 396;1 688;2 043;1 424;1 525;1 549;1 779;1 245;1 238;898;1 436;1 001;836;1 405
Lithuania;3 224;2 629;3 027;2 154;3 156;2 573;2 254;2 474;2 819;2 110;2 054;1 490;2 110;1 880;1 461;2 148
Luxembourg;260;207;235;279;277;237;208;241;183;200;175;150;150;93;76;77
Hungary;18 002;13 051;12 958;13 493;13 705;16 357;12 503;11 580;10 758;13 030;11 290;12 614;12 161;8 667;9 502;10 381
Malta;349;272;227;259;188;243;181;174;163;200;151;172;196;188;151;193
Netherlands;11 981;10 156;11 271;11 234;11 890;11 669;8 640;9 189;8 598;7 680;6 634;6 695;7 554;6 064;4 967;5 691
Austria;7 161;5 417;5 922;5 821;6 733;6 715;5 386;5 853;4 283;4 895;3 966;4 239;5 001;3 685;3 167;3 203
Poland;42 139;36 065;40 371;42 328;52 629;50 089;47 686;45 876;45 114;44 471;41 552;44 821;46 792;35 647;36 541;47 298
Portugal;9 160;6 274;4 288;5 214;4 074;4 876;3 680;3 649;2 622;3 943;2 906;3 041;2 640;2 517;2 639;2 105
Romania;42 284;33 112;30 299;26 381;21 918;29 334;28 343;23 037;22 039;23 999;21 587;23 469;23 158;18 470;21 590;19 604
Slovenia;2 035;1 557;1 565;1 694;1 712;1 955;1 632;1 603;1 306;1 660;1 467;1 554;1 495;1 147;1 236;1 191
Slovakia;6 698;5 340;5 540;5 330;5 877;6 767;5 580;5 281;4 878;5 130;4 470;5 032;4 857;3 462;3 916;5 354
Finland;1 238;1 261;843;629;1 005;958;773;369;883;225;225;97;454;167;61;158
Sweden;3 443;3 093;2 570;1 661;2 084;2 672;1 593;783;1 646;798;735;412;902;528;368;646
Iceland;31;26;49;18;35;4;0;23;25;23;11;15;8;2;0;1
Liechtenstein;19;17;16;14;18;17;9;11;7;12;10;8;7;6;7;6
Norway;1 324;1 184;1 003;832;1 292;1 282;868;768;697;427;449;295;552;318;156;393
Switzerland;4 699;3 765;4 180;4 118;4 581;4 203;3 407;3 976;2 929;3 305;2 358;2 311;2 258;1 790;1 722;1 677
Bosnia and Herzegovina;7 694;6 309;5 905;6 994;6 768;7 310;5 335;4 164;3 956;5 350;7 473;6 216;7 311;5 797;9 156;8 984
Montenegro;1 032;1 019;929;966;1 265;1 253;898;736;665;880;963;875;975;856;918;1 079
North Macedonia;6 300;4 174;4 230;5 312;4 968;5 670;5 267;4 886;4 438;4 854;6 047;6 171;5 121;3 277;3 757;4 979
Albania;6 505;4 893;4 371;5 192;6 240;5 697;4 941;4 297;3 453;4 838;5 135;5 276;4 779;3 807;3 789;4 604
Serbia;18 319;14 773;14 894;15 070;11 868;17 517;13 371;11 204;11 554;13 176;13 749;16 192;14 705;11 132;14 372;14 845
Kosovo;4 967;4 246;4 223;4 682;5 295;4 683;4 158;3 934;3 745;3 960;4 038;4 179;4 096;2 759;3 058;2 925
