;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Pays;;;;;;;;;;
Total European Union;100;103,52;105,33;106,16;107,94;109,44;111,05;112,39;115,84;121,47
Belgium;75,91;82,88;82,24;87,39;88,05;90,53;91,15;93,37;94,35;99,78
Bulgaria;25,18;29,42;31,65;29,52;30,6;36,94;39,13;44,41;55,85;57,73
Czechia;92,61;93,46;97,91;103,23;98,85;100,39;103,65;104,86;109,86;110,98
Denmark;151,84;159,14;158,3;155,34;158,41;156,5;157,4;164,11;160,93;167,49
Germany;109,83;113,43;115,9;120,16;121,85;123,16;128,37;130,93;135,76;141,18
Estonia;98,59;89,93;96,53;98,32;109,5;98,79;98,65;106,8;111,65;115,52
Ireland;77,28;78,38;82,84;87,63;98,89;101,26;100,44;100,26;100,82;110,39
Greece;55,94;60,59;70,3;69,1;76,62;73,1;92,07;85,77;93,32;101,59
Spain;104,47;106,29;105,62;104,55;105,04;107,65;106,56;108,56;112,88;116,43
France;109,58;109,07;111,89;113,62;117,72;116,09;122,33;125,06;124,64;130,65
Croatia;64,16;71,37;72,68;73,3;73,92;75,74;79,01;83,27;86,1;88,81
Italy;102,55;109,2;115,04;119,02;118,65;127,06;117,72;121,57;125,31;129,39
Cyprus;68,3;68,16;65,39;70,31;73,7;73,62;85,98;78,23;93,26;94,65
Latvia;80,06;81,25;87,35;95,8;99,44;97,75;97,8;97,15;102,07;105,37
Lithuania;66,24;71,09;73,13;78,46;85,48;81,73;87,79;92,77;98,48;103,75
Luxembourg;150,74;164,79;174,95;173,33;162,91;171,95;175,5;174,72;173,05;179,02
Hungary;52,64;60,33;77,62;58,92;58,93;64,79;63,97;65,21;69,56;81,15
Malta;51,58;50,77;57,81;60,06;68,55;93,54;79,84;79,22;78,79;79,76
Netherlands;95,1;100,04;102,99;103,14;104,34;109,65;112,29;118,23;116,03;118,78
Austria;137,27;144,8;147,84;145,08;148,9;153,12;156,52;159,63;157,23;173,86
Poland;46,45;49,34;51,07;55,25;56,52;59,07;60,98;60,49;63,88;67,37
Portugal;82,18;84,66;89,07;90,86;92,75;97,27;98,43;98,31;104,57;105,69
Romania;86,16;87,58;88,27;91,36;87,39;83,95;77,61;80,5;81,49;84,59
Slovenia;89,74;91,86;95,82;94,25;98,29;97,02;100,39;106,81;111,03;115,86
Slovakia;68,13;74,14;77,34;82,04;87,24;85,59;79,08;85,48;88,05;94,41
Finland;168,67;176,61;176,7;180,02;181,55;169,91;169,41;170,55;170,89;178,01
Sweden;152,99;157,9;156,95;159,94;161,08;163,96;168,19;163,91;157,59;160,95
Iceland;;;;;;;;;;
Liechtenstein;;;;;;;;;;
Norway;;;;;;;;;;
Switzerland;;;;;;;;;;
Bosnia and Herzegovina;;;;;;;;;;
Montenegro;;;;;;;;;;
North Macedonia;;;;;;;;;;
Albania;;;;;;;;;;
Serbia;;;;;;;;;;
Türkiye;;;;;;;;;;
Kosovo ;;;;;;;;;;
