Pays;Année;deces_pm25;eco_index
Total European Union;2013;328912.0;100.0
Belgium;2013;8691.0;75.91
Bulgaria;2013;13610.0;25.18
Czechia;2013;10914.0;92.61
Denmark;2013;1761.0;151.84
Germany;2013;58365.0;109.83
Estonia;2013;306.0;98.59
Ireland;2013;879.0;77.28
Greece;2013;11468.0;55.94
Spain;2013;15793.0;104.47
France;2013;35660.0;109.58
Croatia;2013;4114.0;64.16
Italy;2013;55103.0;102.55
Cyprus;2013;590.0;68.3
Latvia;2013;1549.0;80.06
Lithuania;2013;2474.0;66.24
Luxembourg;2013;241.0;150.74
Hungary;2013;11580.0;52.64
Malta;2013;174.0;51.58
Netherlands;2013;9189.0;95.1
Austria;2013;5853.0;137.27
Poland;2013;45876.0;46.45
Portugal;2013;3649.0;82.18
Romania;2013;23037.0;86.16
Slovenia;2013;1603.0;89.74
Slovakia;2013;5281.0;68.13
Finland;2013;369.0;168.67
Sweden;2013;783.0;152.99
Iceland;2013;23.0;
Liechtenstein;2013;11.0;
Norway;2013;768.0;
Switzerland;2013;3976.0;
Bosnia and Herzegovina;2013;4164.0;
Montenegro;2013;736.0;
North Macedonia;2013;4886.0;
Albania;2013;4297.0;
Serbia;2013;11204.0;
Total European Union;2014;290933.0;103.52
Belgium;2014;6250.0;82.88
Bulgaria;2014;14203.0;29.42
Czechia;2014;9855.0;93.46
Denmark;2014;2419.0;159.14
Germany;2014;52049.0;113.43
Estonia;2014;396.0;89.93
Ireland;2014;817.0;78.38
Greece;2014;9647.0;60.59
Spain;2014;15446.0;106.29
France;2014;22689.0;109.07
Croatia;2014;3771.0;71.37
Italy;2014;45701.0;109.2
Cyprus;2014;619.0;68.16
Latvia;2014;1779.0;81.25
Lithuania;2014;2819.0;71.09
Luxembourg;2014;183.0;164.79
Hungary;2014;10758.0;60.33
Malta;2014;163.0;50.77
Netherlands;2014;8598.0;100.04
Austria;2014;4283.0;144.8
Poland;2014;45114.0;49.34
Portugal;2014;2622.0;84.66
Romania;2014;22039.0;87.58
Slovenia;2014;1306.0;91.86
Slovakia;2014;4878.0;74.14
Finland;2014;883.0;176.61
Sweden;2014;1646.0;157.9
Iceland;2014;25.0;
Liechtenstein;2014;7.0;
Norway;2014;697.0;
Switzerland;2014;2929.0;
Bosnia and Herzegovina;2014;3956.0;
Montenegro;2014;665.0;
North Macedonia;2014;4438.0;
Albania;2014;3453.0;
Serbia;2014;11554.0;
Total European Union;2015;321094.0;105.33
Belgium;2015;6210.0;82.24
Bulgaria;2015;14669.0;31.65
